fen,move,score,outcome
rnb1k2r/1p3ppp/2p4n/p2p4/P3Q3/1PP1P3/2K2PPP/RNB2B1R b - - 0 13,d5e4,110,0.5
rnb1k2r/1p3ppp/2p4n/p7/P3p3/1PP1P3/2K2PPP/RNB2B1R w - - 0 13,b1d2,10,0.5
rnb1k2r/1p3ppp/2p4n/p7/P3p3/1PP1P3/2KN1PPP/R1B2B1R b - - 1 14,b7b5,110,0.5
rnb1k2r/5ppp/2p4n/pp6/P3p3/1PP1P3/2KN1PPP/R1B2B1R w - b6 0 14,a4b5,110,0.5
rnb1k2r/5ppp/2p4n/pP6/4p3/1PP1P3/2KN1PPP/R1B2B1R b - - 0 15,c6b5,210,0.5
rnb1k2r/5ppp/7n/pp6/4p3/1PP1P3/2KN1PPP/R1B2B1R w - - 0 15,d2e4,110,0.5
rnb1k2r/5ppp/7n/pp6/4N3/1PP1P3/2K2PPP/R1B2B1R b - - 0 16,c8d7,210,0.5
rn2k2r/3b1ppp/7n/pp6/4N3/1PP1P3/2K2PPP/R1B2B1R w - - 1 16,e4d6,110,0.5
rn2k2r/3b1ppp/3N3n/pp6/8/1PP1P3/2K2PPP/R1B2B1R b - - 2 17,e8e7,210,0.5
rn5r/3bkppp/3N3n/pp6/8/1PP1P3/2K2PPP/R1B2B1R w - - 3 17,d6b5,210,0.5
rn5r/3bkppp/7n/pN6/8/1PP1P3/2K2PPP/R1B2B1R b - - 0 18,h6g4,210,0.5
rn5r/3bkppp/8/pN6/6n1/1PP1P3/2K2PPP/R1B2B1R w - - 1 18,c1a3,110,0.5
rn5r/3bkppp/8/pN6/6n1/BPP1P3/2K2PPP/R4B1R b - - 2 19,e7f6,210,0.5
rn5r/3b1ppp/5k2/pN6/6n1/BPP1P3/2K2PPP/R4B1R w - - 3 19,c3c4,110,0.5
rn5r/3b1ppp/5k2/pN6/2P3n1/BP2P3/2K2PPP/R4B1R b - - 0 20,g4f2,210,0.5
rn5r/3b1ppp/5k2/pN6/2P5/BP2P3/2K2nPP/R4B1R w - - 0 20,h1g1,110,0.5
